Class name	Wubi Label Sequece
㪑	3 9 13 2 
傱	22 19 22 7 
腰	4 18 21 
瓙	6 5 13 14 
㙵	5 24 12 5 
曩	9 24 10 
滬	8 24 13 2 0 
䉌	19 1 20 4 
㓆	20 22 23 13 
鬐	3 4 5 9 
熵	14 20 12 
諼	24 4 5 2 
㥩	13 5 19 9 25 
肕	4 21 24 24 
氩	17 13 6 6 
䨻	5 11 5 11 8 
僉	22 6 10 22 21 
里	9 5 3 
廴	15 13 24 
藅	0 11 24 9 
俦	22 3 19 5 
丑	13 5 3 
彧	0 10 6 4 
舏	19 3 13 7 
珳	6 24 4 19 
俎	22 22 4 6 
毿	2 2 2 13 23 
夰	3 9 9 
麿	24 18 18 10 
鏹	16 23 10 9 
鐅	20 12 8 16 
搘	17 5 19 9 
葽	0 18 21 5 
于	6 5 
疺	20 19 15 8 
逷	9 16 17 15 
躓	10 7 17 12 23 
侍	22 5 5 
浣	8 15 5 16 
痹	20 11 6 9 
夥	9 18 16 
瑌	6 3 12 3 
㜅	21 24 23 11 
晷	9 19 7 10 
弝	23 2 13 13 
諠	24 15 6 6 
焚	18 18 14 
鍞	16 7 12 24 
檿	3 9 4 18 
敝	20 12 8 
昬	13 0 9 5 
哪	10 21 
囦	11 8 8 
萃	0 24 22 
徵	19 12 6 19 24 
舩	19 4 22 2 1 
澇	8 14 14 11 
䖲	9 16 9 6 
㒦	22 11 11 5 
嫡	21 20 12 
鎛	16 6 4 5 21 
旀	24 2 8 24 
癆	20 14 14 11 
名	16 10 
䜗	24 3 6 13 
㗃	10 13 0 9 
嶤	12 5 5 16 
尅	3 16 5 8 
㦯	0 2 6 3 
轼	11 0 0 
扠	17 2 24 24 25 
䩸	0 5 0 1 
秈	19 12 7 1 
欌	18 0 3 19 
娣	21 20 23 
赌	12 5 19 9 5 
䖮	9 19 12 10 
挫	17 22 22 
攇	17 15 3 13 
窥	15 22 5 16 0 
倂	22 19 5 5 
瞎	7 15 
唉	10 2 19 
祏	15 24 3 6 
楀	18 19 10 24 
翯	13 24 12 10 
饩	16 13 17 13 
穜	19 20 9 5 10 
蜙	9 18 22 2 
斑	6 24 6 4 
绰	23 7 9 
錵	16 0 22 23 
㺨	6 2 24 
猎	16 19 0 
炩	14 22 24 2 
扯	17 7 6 
朋	4 4 
扑	17 7 24 
㦡	13 23 17 18 
詔	24 21 10 6 
﨓	18 0 22 5 
徲	19 13 8 7 
慗	6 10 8 13 
嚷	10 24 10 
䁑	7 9 6 17 
懴	13 5 0 6 
墾	4 4 21 5 
築	19 0 12 18 
廧	24 5 22 10 
憲	15 6 11 13 
觏	5 9 6 16 
鑦	16 0 7 12 
悤	19 11 16 13 
桬	8 8 19 18 
颯	20 12 19 9 13 
匂	16 23 21 
簤	19 11 12 20 
慽	13 3 7 19 
侢	22 6 12 5 
蟎	9 0 12 24 22 
擑	17 10 1 19 
狫	16 19 5 23 
尻	13 21 21 
湔	8 20 4 
欒	23 24 23 18 
㶓	8 0 3 19 
霓	5 21 16 
茟	0 21 5 7 
䶠	3 6 10 1 
㝀	23 6 20 1 5 
刯	6 9 6 9 
謽	23 10 9 24 
趿	10 7 4 24 
諀	24 17 19 5 
譜	24 20 14 9 
趏	5 7 19 3 
㢾	23 18 5 6 
訋	24 16 24 24 
峳	12 22 7 19 
箼	19 13 6 5 
䏹	4 7 16 13 
犽	16 19 0 19 
孌	23 24 23 21 
摘	17 20 12 
幝	12 7 10 5 
忐	7 13 20 
抅	17 16 2 24 24 
覶	4 2 12 16 
瑶	6 4 17 
忟	13 24 24 
㲣	21 7 2 13 
腬	4 2 1 18 
王	6 6 6 6 
蹢	10 7 20 3 1 
隓	1 3 0 0 
䤎	18 6 2 10 
魇	3 3 17 
㩍	17 19 6 8 
粜	1 12 14 
㹻	16 19 19 21 
䕛	0 24 3 22 
宥	15 3 4 5 
㿤	17 3 22 9 
覠	21 19 10 16 
潩	8 11 0 22 
痩	20 9 7 2 
䑲	19 4 7 9 
屍	13 6 16 23 
鐴	16 13 10 20 
䠺	19 12 3 10 16 
藼	0 15 6 13 
㦳	5 0 5 3 21 
试	24 0 0 
撮	17 9 1 
蚊	9 24 24 7 
訨	24 7 6 
䊊	14 13 19 13 
镊	16 1 2 
靁	5 11 11 11 
圪	5 19 13 
嫕	21 0 19 13 
吞	6 3 10 
㺗	16 19 10 5 
蛱	9 6 20 
憦	13 14 14 11 
惫	19 11 13 
忖	13 5 24 
腹	4 19 9 
㺡	16 19 3 7 21 
斥	17 24 8 
諩	24 20 14 6 
謩	0 9 3 24 
蔽	0 20 12 
臭	19 7 3 20 
怬	13 11 6 
讣	24 7 24 
渂	8 9 24 24 
䵕	19 22 8 3 
䃊	3 0 4 6 
笭	19 22 24 2 17 
垖	5 22 13 13 
迀	5 15 10 
邟	24 12 1 7 
㖳	8 21 10 23 
燵	14 5 20 15 
瘲	20 19 22 7 
㩥	17 5 0 6 
㦩	13 1 4 13 
柣	18 17 22 24 16 
㣘	19 16 10 6 
䩹	0 5 6 7 
竮	20 13 20 0 
脐	4 24 9 
瓋	6 20 12 15 
躱	19 12 3 18 9 
抌	17 15 16 13 
㨈	17 24 9 6 
㗕	10 5 9 5 
䊓	14 9 6 7 22 
醠	18 6 12 11 
蚳	9 16 0 24 7 
兲	6 22 20 
豯	4 4 23 3 6 
塥	5 6 10 
酒	8 18 6 6 
丈	3 24 8 
俢	22 19 4 19 
蜾	9 9 18 
訄	21 24 3 
呴	10 16 10 6 
猞	16 19 22 10 
㲹	8 12 13 
烌	14 22 18 24 
㱥	6 16 5 19 
醎	18 6 3 19 
辞	19 3 20 7 
汱	8 3 24 5 
䘼	15 20 15 1 
峊	22 13 13 12 
哓	10 0 19 
滃	8 22 2 13 
㦈	13 20 6 11 
炧	14 19 1 13 0 
娹	21 23 24 23 
髰	3 4 0 13 
㮜	18 0 13 5 
䶋	19 7 11 24 
啖	10 14 14 
䶳	22 6 10 12 25 
徶	19 20 12 19 
廑	24 0 10 6 17 
邦	3 19 1 
绪	23 5 19 
膃	4 11 22 11 
煖	14 4 5 2 
洼	8 5 5 6 
婐	21 9 18 24 
渶	8 0 12 3 
錱	16 6 6 5 
嘇	10 2 2 4 
䥞	16 17 24 19 
桁	18 19 5 7 17 
呪	10 10 16 13 
㚭	21 3 13 13 
淧	8 15 13 19 
少	8 19 
乔	19 3 9 
厖	3 3 13 4 4 
揙	17 24 13 0 14 
䁤	7 20 12 3 
錊	16 24 22 5 
䟐	5 7 3 7 
䃭	3 3 6 13 
敁	7 10 7 2 
眉	13 7 3 
蕲	0 20 9 17 
旈	24 24 2 16 
韴	20 9 6 7 
铭	16 16 10 
镛	16 24 21 7 
䕨	0 4 20 8 
瞥	20 12 8 7 19 
蹪	10 7 10 12 
㚞	3 18 18 20 
霃	5 8 15 16 
窬	15 22 22 9 
蛪	3 7 21 9 22 
鐏	16 20 18 5 
鈶	16 2 10 6 
濈	8 10 1 19 
㟫	12 17 8 24 
迈	3 13 15 
蛜	9 22 21 19 
丄	7 6 3 
㜟	21 13 1 19 
亚	6 14 6 
埻	5 24 1 6 
艍	19 4 13 3 
沈	8 15 16 
泥	8 13 23 
砡	3 6 24 24 
䞖	5 7 0 24 
粷	14 16 14 24 
撟	17 19 3 10 
泧	8 0 13 19 
灢	8 6 10 4 
爅	14 11 5 5 
件	22 17 7 4 
穵	15 22 13 1 
攮	17 6 10 4 
蹱	10 7 20 5 
蹘	10 7 13 4 
㾹	20 7 23 18 
榋	18 21 21 21 
㔄	18 14 9 7 
錀	16 22 6 0 
㐠	4 1 13 13 
䂛	3 2 1 7 
讨	24 5 24 9 
絮	21 10 23 
曥	9 7 0 11 14 
椔	18 21 11 6 
咻	10 22 18 
怱	16 17 24 13 
榆	18 22 6 9 8 
鑧	16 15 0 24 
汓	8 1 6 13 
堁	5 9 18 24 
贻	12 2 10 
毛	19 5 13 
编	23 24 13 0 
为	14 
䏳	4 17 17 7 
酊	18 6 18 
䆒	15 22 21 24 
坯	5 6 8 6 
鐆	1 20 4 16 
疔	20 18 10 
覆	18 19 19 
吖	10 20 7 
㑤	22 0 11 6 
㸩	19 17 5 7 8 
櫍	18 17 17 12 
兏	3 7 16 21 
蕐	0 6 22 7 
腧	4 22 6 9 1 
嘹	10 3 20 8 
卛	23 24 23 5 20 
况	20 10 16 
賀	11 10 12 20 
䁲	7 11 12 24 
㮡	14 0 13 18 12 
刋	19 3 9 7 
䘂	9 5 0 6 
啼	10 20 
嵠	12 4 23 3 
栠	22 19 5 18 
瞆	7 10 7 12 5 
㮎	18 6 8 11 
门	20 24 7 
蚘	9 3 13 13 
䵞	11 5 14 9 11 
虥	7 0 12 0 
洢	8 22 21 19 
魏	19 21 17 
侖	22 6 12 0 
鐉	16 13 13 22 11 
識	24 20 0 9 
㞽	12 0 13 19 
醪	18 6 13 4 
笿	19 19 10 5 
迁	19 5 15 
昤	9 22 24 2 25 
䃋	3 22 6 9 
衣	24 4 
勥	23 10 9 11 
稶	19 0 10 4 
㘾	5 15 6 5 
䚽	24 19 5 13 
涃	8 11 18 24 
胝	4 16 0 
䨵	5 8 18 9 
㹾	16 19 19 10 21 
嬑	21 20 9 13 
碸	3 12 19 9 
嗭	5 7 10 23 
昉	9 24 13 9 
戹	24 13 13 21 
壁	13 10 20 5 
曹	6 12 0 
偁	22 4 12 5 
䛲	24 17 12 7 
贙	7 0 12 12 10 
䀢	7 19 3 24 
㚛	3 23 9 5 
萎	0 19 21 
儬	22 6 4 16 4 
袦	15 20 1 12 
疤	20 2 21 
巆	12 14 14 10 
弜	23 23 13 
攠	17 24 18 3 
擌	17 19 3 22 
㴈	8 17 6 12 
苑	0 16 1 
䁆	7 3 9 13 
玦	6 13 22 24 
疅	11 6 11 6 
渥	8 13 6 
病	20 6 12 
狻	16 19 2 19 
蹜	10 7 15 9 
檾	14 14 15 18 7 
諦	24 20 15 7 6 
倪	22 21 16 
鏦	16 19 22 7 
㝼	3 13 6 5 
捦	17 16 6 1 
酏	18 6 1 
搯	17 4 21 6 5 
㧒	17 15 22 24 21 
衊	19 11 0 19 
汋	8 16 24 24 
篵	19 19 22 7 
士	5 6 7 6 
㸮	19 17 22 21 
㺊	16 19 20 13 17 
弭	23 1 6 12 
焑	14 11 18 24 
粐	14 24 13 19 
茔	0 15 5 5 
彪	7 0 12 4 
皘	17 6 4 6 7 
瘮	20 2 2 4 
籝	19 24 13 24 
掜	17 21 16 13 
桞	18 16 1 7 
㞁	3 13 9 23 
巒	23 24 23 12 
禖	15 24 0 18 
䖞	9 5 24 
抇	17 9 6 7 
响	10 19 12 
麯	18 22 22 0 
厸	2 2 24 23 
隰	1 9 23 
㝱	15 13 7 16 
䊙	3 6 0 14 
衄	19 11 13 5 
披	17 7 2 
墩	5 24 1 12 
庺	24 22 2 18 
蘟	0 1 4 13 
螶	0 13 9 9 
纥	23 19 13 13 22 
撽	17 17 24 19 11 
㴄	8 11 22 12 
覢	14 14 7 16 
咯	10 19 10 
蛄	9 3 6 
㠼	12 7 17 7 11 
虓	21 7 0 12 
碔	3 6 0 7 8 
錉	16 16 0 9 
柧	18 17 2 24 
郣	5 15 1 1 
䓍	0 9 5 9 
僋	22 22 24 12 20 
滜	8 17 3 5 
㹿	16 19 7 9 4 
薗	0 11 5 4 
囐	10 7 0 3 
囡	11 21 3 
茭	0 20 16 20 
䩠	0 5 19 15 18 
峿	12 6 10 6 
膭	4 10 7 12 
婺	2 1 19 21 
徖	19 15 5 8 
饿	16 13 19 
㶫	3 20 14 20 
塤	5 10 12 24 
㴠	8 1 10 1 
畉	11 5 22 24 
勿	16 17 4 
䍀	23 9 19 11 
㫘	6 8 9 5 
捜	17 9 7 2 
霗	5 8 22 2 
脌	4 17 7 5 
皽	24 11 10 2 
怗	13 7 10 6 15 
㵳	8 15 13 4 13 
擈	17 14 6 22 
鍊	16 6 11 8 20 
禐	15 24 4 2 
艫	19 4 7 11 3 
㼫	9 18 6 13 
彩	4 18 4 
䒸	0 19 11 5 
訷	24 9 7 7 
瞓	7 24 10 7 
淁	8 20 21 6 
蝘	9 0 9 21 
傖	22 22 24 10 
旺	9 6 6 19 
嬂	21 20 0 9 
㶈	8 14 14 9 
袡	15 20 12 5 
偠	22 18 21 6 
岊	2 12 9 
缓	23 4 5 
瘘	20 14 21 
蕞	0 9 1 
㻅	6 22 5 2 
箷	19 24 19 1 
䇸	19 10 6 5 
刾	6 20 22 9 
䨧	5 20 22 2 
刪	12 0 9 7 
崹	12 20 15 7 
仼	22 6 6 14 
㽢	11 3 9 13 25 
坛	5 5 2 
吱	10 5 2 
郯	14 14 1 
㝒	15 3 5 23 
吙	10 14 24 
唘	3 2 10 5 
琕	6 17 19 5 
䞄	24 19 1 12 
堎	5 5 22 19 
汦	8 16 0 13 
銾	16 0 8 24 
幔	12 7 9 2 
衅	19 11 20 
兵	17 6 22 
㚎	3 1 9 
绶	23 4 15 
邷	6 13 24 1 
艑	19 4 24 0 
䁟	7 20 3 0 
䬓	12 19 9 9 13 
扙	17 3 24 24 
䅚	19 20 3 1 
僭	22 0 16 9 
慵	13 24 21 7 
㖡	10 24 22 24 
采	4 18 
贤	9 2 12 
杍	18 1 6 22 
舶	19 4 17 18 
敲	24 12 10 2 
逰	17 19 1 15 
撂	17 11 19 
砨	3 24 13 13 
醩	18 6 6 9 
圡	5 24 8 
峅	12 2 0 7 
求	5 8 24 
阮	1 5 16 
拸	17 16 16 24 
鋖	16 4 21 6 
㳮	8 13 8 24 
䒰	0 0 6 5 
猆	3 9 3 3 
翍	13 7 2 24 
選	13 13 0 15 
埪	5 15 22 0 
剨	3 7 3 9 
禑	15 24 9 24 
哵	10 10 11 9 
阿	1 18 
豹	4 4 16 24 
翣	13 20 21 5 
沥	8 3 11 
朏	4 1 12 7 
卨	7 12 13 10 
狧	16 19 19 3 
㳉	8 4 6 7 
圜	11 11 6 
㡏	12 7 22 9 10 
姗	21 12 12 
訯	24 4 24 24 
䦼	1 13 22 24 
胕	4 22 5 24 
㤏	13 19 20 24 
䆃	20 19 7 19 
㑃	22 23 11 13 
倜	22 12 5 
貀	4 4 1 12 
蟞	20 12 8 9 
醦	18 6 2 4 
姸	21 5 19 5 
稂	19 24 21 
擅	17 24 11 
孞	1 13 20 
㾠	20 16 19 6 
任	22 19 5 
㹖	19 17 20 4 
惷	3 22 9 13 
硪	3 19 17 
㾤	20 15 22 0 
偆	22 3 22 9 
乨	2 10 13 13 
戊	3 13 24 
敗	12 19 24 
濵	8 15 13 12 17 
㚽	0 6 13 21 
绵	23 17 
帕	12 7 17 
堘	5 20 3 5 
霦	5 18 18 4 
䏉	1 9 23 14 
疨	20 0 7 19 
㪂	17 13 7 2 
粀	14 3 24 24 
㔭	23 9 6 7 
吀	10 19 5 7 10 
绥	23 4 21 
夣	24 2 11 16 
迕	19 5 15 10 
䖺	22 7 19 9 10 
蔑	0 11 3 19 
堥	2 1 19 5 0 
搝	17 19 7 3 
吲	10 23 7 
苊	0 3 1 
计	24 5 
䴿	18 22 22 4 9 
擎	0 16 10 17 
墁	5 9 11 
蓯	0 19 22 7 
衲	15 20 12 22 
丗	6 12 10 
鉁	16 22 4 19 
峓	12 6 23 22 
蔒	0 21 19 14 
牊	19 7 6 10 
左	3 0 
蚞	9 18 24 
䧀	1 3 2 24 9 
掼	17 23 5 
瓉	6 5 22 12 
樼	18 13 1 1 
汸	8 24 13 20 
䟗	10 7 16 0 7 
䥺	16 0 7 19 14 
幡	12 7 19 11 
垎	5 19 10 6 
膋	14 14 15 4 
䇎	20 0 9 6 
织	23 10 22 
嫚	21 9 11 2 
纡	23 6 5 22 
瞏	11 5 10 4 11 
府	24 22 5 
旤	12 13 12 16 
跃	10 7 19 3 7 
醈	18 6 14 14 
㯖	18 5 11 13 
萊	0 18 22 22 
䆕	15 22 13 22 
姉	21 6 12 7 
猷	20 18 6 3 11 
㜩	21 19 12 3 
喬	19 3 10 10 
嚰	10 24 18 3 
浵	8 12 24 4 
嗂	10 4 17 12 
㥞	13 20 4 24 
濺	8 12 0 0 
酫	18 6 22 6 
聍	1 15 18 
儇	22 11 6 4 20 
莕	0 18 10 5 
喊	10 3 6 19 4 
㓍	20 24 2 16 
䖼	9 5 2 1 
㶰	14 0 5 6 22 
抐	17 12 22 24 1 
勹	16 19 13 
豸	4 4 17 
黃	0 6 12 22 
攵	19 19 6 24 
䔤	0 17 3 9 
蛥	9 16 16 24 
贐	12 21 7 11 
㧜	17 0 12 7 
击	5 12 10 
䍔	11 3 2 20 
賫	5 22 22 12 
僐	22 20 3 10 
屾	12 12 7 
胪	4 7 13 19 
侹	22 19 5 15 
毹	22 6 4 13 
孆	21 12 12 21 
㽚	11 17 7 9 
諞	24 24 13 0 24 
渣	8 18 9 6 
焎	17 17 14 20 
蕃	0 19 14 
謆	24 24 13 13 
诹	24 1 2 
媬	21 22 10 18 
稕	19 24 1 6 
䜙	24 9 23 14 
襵	15 20 1 1 21 
叫	10 13 
歮	7 7 7 5 
臺	5 10 15 5 
霡	5 4 24 8 
䩶	0 5 1 9 
徎	19 10 6 6 1 
㗷	10 15 5 12 
苓	0 22 24 2 
疾	20 19 3 
熯	14 0 10 22 
抓	17 17 7 24 
莝	0 22 22 5 
䵉	24 18 18 9 
嘓	10 11 0 6 
榘	19 3 0 18 12 
捌	17 10 11 9 
糟	14 6 12 9 
潥	8 18 14 24 
账	12 19 0 
曘	9 5 3 9 
賁	5 0 12 20 
呵	10 18 10 
礚	3 0 5 11 
泖	8 16 19 
恄	13 5 10 6 
洲	8 24 19 
徝	19 5 7 6 
诓	24 0 6 6 20 
黛	22 0 11 
柭	18 3 2 24 
蝇	9 10 
㯐	1 3 0 18 
認	24 21 24 13 
辝	2 10 20 7 
缶	17 12 10 
敬	0 16 10 
暴	9 0 22 
队	1 22 
扡	17 1 13 
覑	19 7 6 16 2 
䤹	16 15 14 2 
銐	6 16 9 16 
淦	8 16 6 
忳	13 6 1 13 
磊	3 3 3 
跑	10 7 16 
㡉	12 7 23 23 
筥	19 10 10 5 
茀	0 23 9 9 
痰	20 14 14 
㽺	20 4 24 8 15 
抛	17 21 11 
盻	7 22 6 13 
铸	16 3 19 
䧎	1 10 4 6 
挅	17 4 18 24 
錜	16 22 24 13 
剪	20 4 9 21 
聟	19 3 10 1 
仂	22 11 13 
鬁	3 4 19 9 
䅓	19 16 10 2 
语	24 6 10 
秢	19 22 24 2 23 
鍅	16 8 5 2 
園	11 5 10 4 16 
隦	1 13 10 20 
婝	21 15 6 7 
耼	1 12 5 6 11 
䘀	22 13 13 9 16 
鬃	3 4 15 
髿	3 4 8 19 24 
岪	12 23 9 9 
缨	23 12 12 
㴪	8 19 7 18 
掽	17 20 14 6 
烖	5 0 14 8 
㛢	21 19 4 13 
䭫	23 9 20 7 
翅	5 2 13 
帞	12 7 3 9 11 
拰	17 22 19 5 
麦	6 19 20 
踗	10 7 22 13 24 
㛘	21 5 15 1 
䅎	19 19 4 13 
㐹	22 17 13 13 
橣	18 15 13 4 
夺	3 5 
踇	10 7 19 20 
喳	10 18 9 
䠛	10 7 4 12 
㚦	21 6 9 7 
䣉	8 8 19 2 
撁	17 24 23 7 
摄	17 1 2 2 
㐡	21 3 12 3 8 
旖	24 19 3 10 25 
㖵	10 7 22 24 
捊	17 4 1 6 
樂	23 17 23 18 
坭	5 13 23 
㹗	19 17 5 5 
䅼	19 9 11 2 
側	22 12 9 7 
䐕	4 10 1 6 
鈛	16 0 19 
琾	6 11 22 9 
甸	16 11 
箪	19 20 9 5 
酣	18 6 0 5 
枘	18 12 22 
撢	17 18 9 7 
踕	10 7 6 7 
鋭	16 20 10 16 
霩	5 24 1 1 
彫	12 5 10 4 
丆	3 6 19 
螛	9 15 3 10 
壙	5 24 0 22 
裌	15 20 3 22 
怼	2 5 13 
訃	24 7 24 8 
澫	8 0 9 24 
椫	18 20 9 5 24 
䀖	7 6 3 24 
锬	16 14 14 
腡	4 12 13 10 
粈	14 13 5 6 20 
掆	17 12 20 12 
毡	19 5 13 10 
㣵	19 5 20 15 
丢	19 5 2 
赻	5 7 8 19 
遂	20 4 15 
㧁	24 13 5 2 
扖	17 19 24 24 
㱱	6 16 17 2 
腚	4 15 6 
瀲	8 22 6 19 
㿺	9 0 22 2 8 
賐	12 2 22 19 
㚚	3 16 10 5 
㟢	12 3 18 10 
鐽	16 5 20 15 
刵	1 9 7 
䗗	9 19 6 0 22 
瑉	6 13 0 9 
㿊	20 0 16 9 
傃	22 6 23 8 
䤦	16 22 0 19 
嗑	10 5 2 11 
鏭	16 19 14 13 
痓	20 6 2 5 
燆	14 19 3 10 
㴳	8 5 3 4 
㬛	9 22 6 13 
惩	19 6 7 13 
䩫	0 5 6 24 
邈	4 4 17 15 
榓	18 13 19 11 
㴬	8 19 12 5 
眼	7 21 
夻	3 10 5 
䣓	6 10 12 1 
㖤	10 1 8 1 
㚂	5 6 10 4 
猋	3 3 3 20 
佣	22 4 7 
荓	0 20 0 9 
㕷	10 17 6 
雼	5 3 5 12 
嬬	21 5 3 9 
绗	23 19 5 7 
䙽	3 20 7 16 
砻	3 23 3 
莨	0 24 21 
蹺	10 7 5 16 
罂	12 12 17 
㝿	3 13 7 2 
㓱	22 6 4 9 
抱	17 16 13 
裧	15 20 14 14 
獢	16 19 19 10 18 
蜡	9 0 9 1 
屷	12 4 13 
㞙	13 19 5 8 
諬	19 3 13 24 
㸳	19 17 22 2 2 
㱙	6 16 6 13 
唆	10 2 22 
㗾	10 0 5 23 
闩	20 6 3 3 
戈	0 6 13 19 
肿	4 10 
䪞	6 3 3 6 
㳃	8 21 5 7 
诠	24 22 6 
痈	20 4 10 
绮	23 3 18 
簃	19 19 16 16 
䴵	18 22 22 0 16 
狃	16 19 13 5 
㞾	12 13 23 13 
衰	24 10 6 4 
嵴	12 8 22 
摦	17 3 5 24 
兀	6 16 21 2 
䃅	3 20 9 5 15 
㽾	20 1 12 10 
厌	3 3 8 
䖆	0 18 6 4 
溻	8 9 13 
鉼	16 20 0 7 
邴	6 12 22 1 
妡	21 17 7 
蛏	9 2 5 6 
诿	24 19 21 
彵	19 1 13 
鉷	16 0 22 24 
庑	24 5 16 
螨	9 0 6 22 
夠	16 16 16 10 
熋	2 4 23 14 
錓	16 20 3 13 
轩	11 5 
脞	4 22 22 
碕	3 3 18 10 
濫	8 0 7 11 
㘮	5 13 24 24 
鬅	3 4 4 4 
硙	3 12 13 13 
子	1 1 
捏	17 9 5 6 5 
䣆	6 21 0 1 
訽	24 16 10 6 7 
蜴	9 9 16 17 25 
隌	1 20 9 6 
梄	18 18 6 6 
瑰	6 17 16 
斊	24 1 5 14 
䥄	16 3 0 9 
瞸	7 0 0 18 
尩	22 16 6 3 
她	21 1 13 
搊	17 16 1 19 25 
仚	22 12 9 13 
㿢	9 4 17 5 
䢨	19 22 22 15 
箦	19 6 12 20 
魄	17 17 16 2 
枂	18 4 6 
齜	7 1 7 23 
捩	17 24 13 3 
㧞	17 19 3 2 
㪿	1 19 1 17 
㐕	12 13 1 
伓	22 6 8 24 
磎	3 4 23 3 
距	10 7 0 
囲	11 5 9 10 
㗏	10 6 8 7 
伹	22 4 6 6 
飆	3 3 3 9 11 
胬	21 2 12 22 
摞	17 11 23 
妸	21 18 10 6 
㢫	23 12 7 
钍	16 5 6 3 
潷	8 19 21 7 
晀	9 8 16 13 
冗	15 12 1 
伧	22 22 1 13 
痙	20 6 21 0 
碑	3 17 19 
丬	20 24 6 7 
忢	6 13 20 
缐	23 17 8 24 23 
潜	8 5 22 
㱦	6 16 3 10 
锒	16 24 21 4 1 
讟	24 5 11 24 
爹	22 16 16 16 
㣠	19 7 19 20 
㷹	14 0 7 9 
䭬	23 9 21 7 
胊	4 16 10 6 8 
堉	5 24 2 4 
䂔	19 3 5 5 11 
钽	16 9 6 19 
腿	4 21 4 
䵋	0 12 22 4 
楋	18 6 10 9 
苙	0 20 5 2 
崻	12 19 5 5 
㘋	10 0 7 12 
贓	12 3 13 19 11 
筭	19 6 0 9 14 
髭	3 4 7 5 
㩜	17 0 7 11 
䑿	19 4 15 9 
乍	19 7 5 
躒	10 7 23 18 
傫	22 11 23 8 
濦	8 4 0 13 
㐨	2 1 2 1 
棐	3 9 3 18 
䞶	5 7 9 17 
耍	3 12 9 21 
㣦	19 19 21 6 
蛬	0 22 9 20 
黸	11 5 14 11 19 
行	19 5 
桌	7 9 18 
㜽	21 1 5 
㞫	12 15 20 
謾	24 9 11 2 
乢	12 13 13 
度	24 0 
䴹	18 22 22 18 4 
徠	19 18 22 22 
瀦	8 4 5 9 
晇	9 3 5 13 
隭	1 5 3 9 
储	22 24 5 
䈟	19 12 9 9 
䒨	0 19 3 20 
赃	12 24 5 11 
落	0 8 19 
薏	0 20 9 13 
傤	22 5 0 11 2 
㫝	9 16 0 24 
㶜	8 13 20 9 
湻	8 24 9 6 
蝰	9 3 5 5 
㩘	17 20 6 19 
肂	6 16 21 7 20 
屐	13 19 5 2 
萮	0 22 6 9 13 
括	17 19 3 
㓺	7 0 24 9 
䂣	3 7 23 13 
墦	5 19 14 11 
叻	10 11 13 
佼	22 20 16 
窄	15 22 19 5 
旛	24 19 19 11 
備	22 0 19 4 
