Class name	IDS Label Sequece
瞎	0 163 1 1 142 214 129 
唉	0 129 1 178 1 189 140 
祏	0 254 179 
楀	0 170 295 
翯	1 0 183 183 1 1 158 129 6 220 129 
饩	0 296 272 
穜	0 135 1 147 274 
蜙	0 258 0 170 1 143 178 
斑	0 0 226 277 226 
绰	0 297 1 219 1 152 197 
錵	0 166 1 133 0 131 169 
㺨	0 226 178 
猎	0 298 1 241 152 
炩	0 234 1 1 137 155 299 
扯	0 209 168 
朋	0 157 157 
扑	0 209 229 
㦡	0 153 1 0 0 159 300 159 170 
詔	0 156 1 271 129 
﨓	0 170 1 133 0 131 266 
徲	0 165 5 148 1 7 151 1 128 143 301 
慗	1 0 302 161 188 
嚷	0 129 1 1 158 1 0 129 129 1 181 139 150 
䁑	0 163 1 1 152 139 2 210 0 207 207 
懴	0 153 2 3 136 197 1 138 139 
墾	1 0 303 304 141 
築	1 1 11 0 149 6 154 155 170 
廧	5 224 1 7 141 0 137 137 9 286 129 
憲	1 1 1 142 214 190 188 
觏	0 1 1 181 139 182 294 
鑦	0 166 1 0 291 175 1 163 143 
悤	1 9 1 207 286 248 188 
桬	1 0 185 1 206 207 170 
颯	0 147 6 154 1 207 258 
匂	2 210 169 
簤	1 11 1 190 1 163 143 
慽	0 153 9 17 1 305 206 
侢	0 131 1 139 182 
蟎	0 258 1 134 7 186 0 187 187 
擑	0 209 0 1 129 231 136 
狫	0 298 5 262 169 
尻	5 148 237 
湔	0 185 1 306 0 157 199 
欒	1 0 0 162 156 162 170 
㶓	0 185 1 133 6 0 290 136 291 
霓	1 146 1 193 130 
茟	1 133 307 
䶠	1 6 9 17 139 129 1 168 3 308 1 1 0 137 137 139 0 137 137 
㝀	0 223 309 
刯	0 1 139 1 152 139 199 
謽	1 0 164 1 129 258 156 
趿	0 1 129 168 310 
諀	0 156 1 12 197 
譜	0 156 1 1 306 311 152 
趏	4 1 141 171 1 236 129 
㢾	0 164 1 264 141 
訋	0 156 2 210 155 
峳	1 249 0 0 131 151 161 
箼	1 11 5 148 1 1 139 178 141 
䏹	0 6 312 177 1 163 130 
犽	0 298 313 
孌	1 0 0 162 156 162 145 
摘	0 209 1 1 158 128 6 220 1 197 129 
幝	0 186 1 0 129 129 19 
忐	1 305 188 
抅	0 209 2 210 178 
覶	0 1 1 260 299 6 220 1 178 175 1 163 130 
瑶	0 226 1 260 261 
忟	0 153 277 
㲣	0 1 20 175 279 
腬	0 157 1 247 170 
王	226 
蹢	0 1 129 168 1 1 158 128 6 220 1 197 129 
隓	0 217 1 5 174 149 5 174 149 
䤎	0 257 1 247 6 220 1 143 129 
魇	5 285 1 239 314 
㩍	0 209 1 11 315 
粜	1 172 218 
㹻	0 298 1 135 145 
䕛	1 133 0 156 7 140 0 137 137 
宥	1 142 5 174 157 
㿤	0 300 1 316 152 
覠	0 5 317 129 1 163 130 
潩	0 185 1 240 1 241 143 
痩	5 201 1 318 175 
䑲	0 288 1 219 1 152 197 
屍	5 148 0 319 169 
鐴	0 166 0 5 148 129 1 147 197 
䠺	0 320 6 321 129 
藼	1 133 1 1 1 142 214 190 188 
㦳	2 3 136 197 141 
试	0 127 2 289 149 
撮	0 209 1 152 0 231 175 
蚊	0 258 277 
訨	0 156 168 
䊊	0 218 5 148 279 
镊	0 221 1 231 0 175 175 
靁	1 146 1 240 0 240 240 
圪	0 141 1 189 252 
嫕	0 145 1 8 211 1 189 140 188 
吞	1 1 139 140 129 
㺗	0 298 1 0 129 129 19 
蛱	0 258 7 293 128 
憦	0 153 1 1 0 234 234 195 238 
惫	1 248 1 240 188 
忖	0 153 266 
腹	0 157 1 1 189 152 248 
㺡	0 298 5 285 1 0 135 135 168 
斥	322 
諩	0 156 1 306 311 
謩	1 1 133 1 152 140 156 
蔽	1 133 0 160 161 
臭	1 323 239 
怬	0 153 324 
讣	0 127 229 
渂	0 185 1 152 277 
䵕	0 1 135 1 137 325 5 148 1 197 129 
䃊	0 179 1 133 278 
笭	1 11 1 1 137 155 299 
垖	0 141 326 
迀	4 228 212 
邟	0 1 158 154 217 
㖳	1 0 185 145 0 129 169 
燵	0 234 4 228 1 141 243 
瘲	5 201 0 165 1 0 137 137 171 
㩥	0 209 2 3 136 197 1 138 139 
㦩	0 153 0 217 1 1 1 260 149 215 188 
柣	0 170 0 207 293 
㣘	0 165 2 210 129 
䩹	0 200 1 1 139 129 6 220 1 128 1 139 151 
竮	0 147 5 148 1 128 1 139 227 
脐	0 157 1 277 0 207 151 
瓋	0 226 4 228 1 1 158 128 6 220 1 197 129 
躱	0 320 1 327 170 
抌	0 209 328 
㨈	0 209 1 277 0 0 207 177 151 
㗕	0 129 1 1 181 139 182 
䊓	0 218 1 152 1 139 171 
醠	0 257 1 329 330 
蚳	0 258 1 331 155 
兲	1 226 143 
豯	0 269 1 260 1 159 140 
塥	0 141 1 1 139 129 6 220 1 128 1 139 151 
酒	0 185 257 
丈	332 
俢	0 131 1 248 216 
蜾	0 258 196 
訄	4 237 156 
呴	0 129 2 210 129 
猞	0 298 1 137 1 236 129 
㲹	0 185 154 
烌	0 234 0 131 170 
㱥	0 319 1 1 141 143 248 
醎	0 257 6 9 17 139 129 
辞	0 1 236 129 1 147 197 
汱	0 185 239 
䘼	0 173 1 142 0 204 205 
峊	1 326 249 
哓	0 129 1 21 144 
滃	0 185 1 1 143 178 0 183 183 
㦈	0 153 1 1 306 141 330 
炧	0 234 1 189 333 
娹	0 145 0 164 1 158 159 
髰	1 0 270 216 202 
㮜	0 170 8 211 0 290 233 
䶋	0 1 323 1 240 283 310 
啖	0 129 1 234 234 
䶳	0 1 1 1 137 139 0 0 129 129 129 6 220 245 1 158 154 
徶	0 165 0 160 161 
廑	5 224 1 134 10 
邦	0 214 217 
绪	0 297 5 262 152 
膃	0 157 1 9 286 137 330 
煖	0 234 1 1 260 139 5 174 175 
洼	0 185 1 141 141 
婐	0 145 196 
渶	0 185 1 133 329 
錱	1 166 0 226 226 
嘇	0 129 1 1 1 178 0 178 178 137 216 
䥞	0 166 0 1 300 191 161 
桁	0 170 0 165 1 139 167 
呪	0 129 1 129 130 
㚭	0 145 4 334 155 
淧	0 185 1 142 335 
少	1 206 207 
乔	1 1 207 140 0 207 151 
厖	5 285 8 4 334 155 216 
揙	0 209 5 251 6 220 245 
䁤	0 163 1 1 158 128 6 220 1 197 129 
錊	0 166 1 1 158 0 137 137 197 
䟐	4 1 141 171 5 285 1 0 135 135 168 
䃭	0 179 1 6 9 17 139 129 188 
敁	0 1 219 129 1 219 175 
眉	5 336 163 
蕲	1 133 0 1 128 19 282 
旈	0 191 1 1 158 178 9 130 151 
韴	0 1 147 152 1 139 186 
铭	0 221 1 204 129 
镛	0 221 5 224 22 
䕨	1 133 0 157 1 1 128 293 162 
瞥	1 0 160 161 163 
蹪	0 1 129 168 1 1 337 139 1 163 143 
㚞	1 140 0 170 170 
霃	1 146 0 185 328 
窬	1 1 142 143 1 1 137 139 0 157 199 
蛪	1 0 214 271 258 
鐏	0 166 1 1 128 257 266 
鈶	0 166 1 178 129 
濈	0 185 0 1 129 231 136 
㟫	0 249 1 300 287 
迈	4 228 338 
蛜	0 258 0 131 317 
丄	1 151 139 
㜟	0 145 0 1 265 231 161 
亚	273 
埻	0 141 1 1 158 129 309 
艍	0 288 5 148 1 197 129 
沈	0 185 328 
泥	0 185 5 148 169 
砡	0 179 339 
䞖	4 1 141 171 289 
粷	0 218 2 210 218 
撟	0 209 1 1 1 207 140 129 6 220 129 
泧	0 185 340 
灢	0 185 1 1 23 195 1 1 0 129 129 1 181 139 150 
爅	0 234 1 203 141 
件	0 131 301 
穵	1 1 142 143 252 
攮	0 209 1 1 23 195 1 1 0 129 129 1 181 139 150 
蹱	0 1 129 168 1 147 274 
蹘	0 1 129 168 1 0 183 183 1 137 216 
㾹	5 201 1 0 168 169 170 
榋	0 170 1 215 0 215 215 
㔄	0 1 264 218 199 
錀	0 166 1 1 137 139 6 220 245 
㐠	1 0 1 260 309 341 252 
䂛	0 179 342 
讨	0 127 266 
絮	1 0 145 129 162 
曥	0 152 5 343 1 240 330 
椔	0 170 1 198 240 
咻	0 129 0 131 170 
怱	1 24 188 
榆	0 170 1 1 137 139 0 157 199 
鑧	0 166 1 142 1 133 8 1 163 130 155 
汓	0 185 309 
堁	0 141 196 
贻	0 292 1 178 129 
毛	279 
编	0 297 5 251 6 220 245 
为	344 
䏳	0 157 0 209 282 
酊	0 257 167 
䆒	1 1 142 143 345 
坯	0 141 1 232 139 
鐆	1 0 217 1 128 269 166 
疔	5 201 167 
覆	1 264 0 165 1 1 189 152 248 
吖	0 129 346 
㑤	0 131 1 133 240 
㸩	0 301 212 
櫍	0 170 1 0 282 282 1 163 143 
兏	5 285 1 305 130 
蕐	1 1 133 139 7 25 1 0 137 137 0 137 137 
腧	0 157 1 1 137 139 0 157 199 
嘹	0 129 1 1 7 140 128 152 206 
卛	1 0 0 162 156 162 197 
况	0 222 1 129 130 
賀	1 0 238 129 1 163 143 
䁲	0 163 1 190 1 163 143 
㮡	1 0 234 184 170 
刋	0 236 199 
䘂	0 258 2 3 136 197 1 138 139 
啼	0 129 1 1 1 158 128 195 186 
嵠	0 249 1 260 1 159 140 
栠	1 0 131 1 207 233 170 
瞆	0 163 1 1 337 139 292 
㮎	0 170 1 232 330 
门	321 
蚘	0 258 4 334 155 
䵞	0 203 199 
虥	0 5 343 154 1 136 136 
洢	0 185 0 131 317 
魏	0 1 135 145 314 
侖	1 1 137 139 6 220 245 
鐉	0 166 1 0 255 255 1 241 143 
識	0 156 2 3 136 1 158 128 152 
㞽	0 249 340 
醪	0 257 1 0 183 183 1 137 216 
笿	1 11 1 248 129 
迁	4 228 236 
昤	0 152 1 1 137 155 299 
䃋	0 179 1 1 137 139 0 157 199 
衣	192 
勥	1 0 164 1 178 258 238 
稶	0 135 2 15 1 129 139 
㘾	0 141 1 142 280 
䚽	0 156 279 
涃	0 185 9 286 170 
胝	0 157 1 331 155 
䨵	1 146 0 185 1 264 1 152 197 
㹾	0 298 1 4 248 229 129 
嬑	0 145 1 1 147 152 188 
碸	0 179 6 154 1 207 258 
嗭	1 1 197 26 0 129 169 
昉	0 152 191 
戹	5 251 252 
壁	1 0 5 148 129 1 147 197 141 
曹	1 27 152 
偁	0 131 1 260 182 
䛲	0 156 1 300 186 
贙	1 0 5 343 154 5 343 154 1 163 143 
䀢	0 163 1 189 140 
㚛	1 140 1 169 152 
萎	1 133 1 135 145 
儬	0 131 0 1 347 157 1 163 130 
袦	0 173 172 
疤	5 201 268 
巆	0 249 1 1 0 234 234 195 1 1 129 207 129 
弜	0 164 164 
攠	0 209 5 224 1 0 170 170 138 
擌	0 209 1 11 7 140 0 137 137 
㴈	0 185 1 348 249 
苑	1 133 0 204 205 
䁆	0 163 1 140 263 
玦	0 226 349 
疅	0 240 1 1 1 139 240 1 139 240 139 
渥	0 185 5 148 1 1 139 178 141 
病	5 201 1 139 132 
狻	0 298 1 1 178 143 248 
蹜	0 1 129 168 1 142 0 131 1 139 300 
檾	1 1 0 234 234 195 0 170 170 
諦	0 156 1 1 1 158 128 195 186 
倪	0 131 1 193 130 
鏦	0 166 0 165 1 0 137 137 171 
㝼	4 334 280 
捦	0 209 166 
酏	0 257 333 
搯	0 209 1 260 193 
㧒	0 209 1 142 143 
衊	0 1 207 330 1 1 133 190 9 17 155 
汋	0 185 2 210 155 
篵	1 11 0 165 1 0 137 137 171 
士	233 
㸮	0 301 1 143 271 
㺊	0 298 1 1 306 141 188 
弭	0 164 231 
焑	0 234 9 286 170 
粐	0 218 251 
茔	1 1 133 195 141 
彪	4 5 343 154 216 
皘	0 300 1 347 157 
瘮	5 201 1 1 1 178 0 178 178 137 216 
籝	1 11 1 1 350 129 0 0 157 145 6 154 155 
掜	0 209 1 193 130 
桞	0 170 0 204 217 
㞁	4 334 1 152 169 
巒	1 0 0 162 156 162 249 
禖	0 254 1 351 170 
䖞	0 258 266 
抇	0 209 152 
响	0 129 6 1 207 220 129 
麯	0 1 7 170 0 137 137 248 352 
厸	0 178 178 
隰	0 217 1 152 1 0 159 159 267 
㝱	1 142 0 290 1 1 1 133 190 195 204 
䊙	1 0 179 1 139 227 218 
衄	0 1 207 330 275 
披	0 209 353 
墩	0 141 0 1 1 158 129 309 161 
庺	5 224 1 1 143 178 170 
蘟	1 133 0 217 1 1 1 260 149 215 188 
螶	1 184 0 258 258 
纥	0 297 1 189 252 
撽	0 209 0 1 300 191 161 
㴄	0 185 9 324 220 
覢	0 1 234 234 1 163 130 
咯	0 129 1 248 129 
蛄	0 258 1 197 129 
㠼	0 186 282 
虓	0 237 5 343 154 
碔	0 179 2 28 168 
錉	0 166 1 331 152 
柧	0 170 354 
郣	0 1 1 197 195 309 217 
䓍	1 133 1 152 212 
僋	0 131 1 1 1 137 155 355 1 163 143 
滜	0 185 1 300 1 140 197 
㹿	0 298 1 219 1 152 197 
薗	1 133 9 286 1 1 141 129 150 
囐	0 129 0 5 343 1 1 139 129 6 220 1 128 1 139 151 239 
囡	9 286 145 
茭	1 133 1 158 356 
䩠	0 200 4 235 1 207 233 
峿	0 249 1 357 129 
膭	0 157 1 1 337 139 1 163 143 
婺	1 0 247 161 145 
徖	0 165 1 142 358 
饿	0 296 359 
㶫	1 7 140 128 234 
塤	0 141 1 129 1 163 143 
㴠	0 185 3 308 7 360 0 129 175 
畉	0 240 293 
勿	2 210 0 207 207 
䍀	0 297 1 0 361 1 189 155 330 
㫘	1 232 152 
捜	0 209 1 318 175 
霗	1 146 0 185 1 1 137 155 299 
脌	0 157 362 
皽	0 1 1 158 9 286 129 1 152 139 353 
怗	0 153 1 219 129 
㵳	0 185 1 142 1 0 183 183 1 137 216 
擈	0 209 1 311 1 306 363 
鍊	0 166 364 
禐	0 254 1 1 260 139 5 174 175 
艫	0 288 5 343 1 240 330 
㼫	0 196 365 
彩	0 1 260 170 216 
䒸	1 133 1 207 330 
訷	0 156 318 
瞓	0 163 0 156 366 
淁	0 185 1 147 145 
蝘	0 258 8 211 1 152 145 
傖	0 131 1 1 137 155 5 9 148 139 129 
旺	0 152 226 
嬂	0 145 2 3 136 1 158 128 152 
㶈	0 185 1 1 0 234 234 195 258 
袡	0 173 182 
偠	0 131 1 264 145 
岊	1 268 249 
缓	0 297 1 1 260 139 5 174 175 
瘘	5 201 1 218 145 
蕞	1 133 1 152 0 231 175 
㻅	0 226 1 137 1 177 178 
箷	1 11 0 191 1 189 333 
䇸	1 11 1 129 226 
刾	0 7 293 128 199 
䨧	1 146 0 147 1 1 137 155 299 
刪	0 367 199 
崹	0 249 1 1 1 158 128 195 186 
仼	0 131 226 
㽢	0 240 1 140 263 
坛	0 141 1 177 178 
吱	0 129 1 197 175 
郯	0 1 234 234 217 
㝒	1 142 1 197 129 
吙	0 129 234 
唘	1 0 179 175 129 
琕	0 226 1 12 197 
䞄	1 0 191 1 189 333 1 163 143 
堎	0 141 1 1 141 143 248 
汦	0 185 331 
銾	0 166 1 149 287 
幔	0 186 1 1 152 190 175 
衅	0 1 207 330 1 128 25 
兵	1 348 143 
㚎	1 140 308 
绶	0 297 1 1 260 195 175 
邷	0 365 217 
艑	0 288 5 251 6 220 245 
䁟	0 163 5 243 149 
䬓	4 6 154 1 207 258 1 147 152 
扙	0 209 332 
䅚	0 135 1 1 128 293 205 
僭	0 131 1 0 368 368 152 
慵	0 153 5 224 22 
㖡	0 129 1 158 0 131 9 248 155 
采	1 260 170 
贤	1 0 361 175 292 
杍	0 170 309 
舶	0 288 300 
敲	0 1 1 158 129 6 220 129 1 219 175 
逰	4 228 0 209 1 189 309 
撂	0 209 1 240 1 248 129 
砨	0 179 5 251 252 
醩	0 257 1 27 152 
圡	8 141 155 
峅	0 249 1 178 227 
求	369 
阮	0 217 1 139 144 
拸	0 209 1 204 204 
鋖	0 166 1 260 145 
㳮	0 185 5 148 287 
䒰	1 133 8 211 226 
猆	1 138 239 
翍	0 0 183 183 353 
選	4 228 1 0 255 255 1 241 143 
埪	0 141 1 1 142 143 149 
剨	0 1 214 179 199 
禑	0 254 370 
哵	0 129 0 1 129 238 199 
阿	0 217 2 167 129 
豹	0 303 2 210 155 
翣	1 0 183 183 1 147 145 
沥	0 185 5 285 238 
朏	0 157 172 
卨	1 219 6 371 129 
狧	0 298 1 236 129 
㳉	0 185 157 
圜	9 286 1 1 190 1 139 129 150 
㡏	0 186 1 1 137 139 0 157 199 
姗	0 145 372 
訯	0 156 310 
䦼	0 217 349 
胕	0 157 0 131 266 
㤏	0 153 1 248 373 
䆃	1 4 228 1 306 323 135 
㑃	0 131 0 159 238 
倜	0 131 6 312 1 141 129 
貀	0 303 172 
蟞	1 0 160 161 258 
醦	0 257 1 1 1 178 0 178 178 137 216 
姸	0 145 0 212 212 
稂	0 135 1 155 304 
擅	0 209 1 1 158 9 286 129 1 152 139 
孞	1 309 188 
㾠	5 201 0 298 226 
任	0 131 1 207 233 
㹖	0 301 1 1 128 293 269 
惷	1 1 316 152 188 
硪	0 179 359 
㾤	5 201 1 1 142 143 149 
偆	0 131 1 316 152 
乨	0 1 178 129 341 
戊	230 
敗	0 1 163 143 161 
濵	0 185 1 142 5 336 1 163 143 
㚽	1 0 149 256 145 
绵	0 297 1 300 186 
帕	0 186 300 
堘	0 141 1 1 128 293 141 
霦	1 146 0 0 170 170 216 
䏉	0 231 1 152 1 0 159 159 267 
疨	5 201 313 
㪂	0 272 1 219 175 
粀	0 218 332 
㔭	0 169 1 152 1 139 171 
吀	0 129 236 
绥	0 297 1 260 145 
夣	1 1 1 1 158 178 190 195 204 
迕	4 228 1 189 197 
䖺	0 0 131 151 1 248 258 
蔑	1 1 133 190 9 17 155 
堥	1 0 247 161 141 
搝	0 209 1 323 239 
吲	0 129 0 164 151 
苊	1 133 5 285 205 
计	0 127 197 
䴿	0 1 7 170 0 137 137 248 1 1 195 139 269 
擎	1 0 1 133 2 210 129 161 374 
墁	0 141 1 1 152 190 175 
蓯	1 133 0 165 1 0 137 137 171 
衲	0 173 132 
丗	29 
鉁	0 166 1 137 216 
峓	0 249 375 
蔒	1 133 1 5 317 129 267 
牊	0 376 1 271 129 
左	5 174 149 
蚞	0 258 170 
䧀	0 217 5 174 178 
掼	0 209 1 377 292 
瓉	0 226 1 0 293 293 1 163 143 
樼	0 170 5 148 1 309 0 309 309 
汸	0 185 191 
䟗	0 1 129 168 331 
䥺	0 221 313 
幡	0 186 1 242 240 
垎	0 141 1 248 129 
膋	1 1 0 234 234 195 157 
䇎	0 147 1 241 152 
织	0 297 1 129 143 
嫚	0 145 1 1 152 190 175 
纡	0 297 280 
瞏	1 190 1 1 141 129 150 
府	5 224 0 131 266 
旤	0 6 371 129 368 
跃	0 1 129 168 1 207 140 
醈	0 257 1 234 234 
㯖	0 170 1 1 1 197 190 139 188 
萊	1 133 7 170 0 137 137 
䆕	1 1 142 143 349 
姉	0 145 378 
猷	0 1 128 257 239 
㜩	0 145 1 6 1 207 220 242 140 
喬	1 1 1 207 140 129 6 220 129 
嚰	0 129 5 224 1 0 170 170 179 
浵	0 185 0 379 216 
嗂	0 129 1 260 261 
㥞	0 153 1 128 269 
濺	0 185 0 1 163 143 1 136 136 
酫	0 257 1 137 226 
聍	0 231 1 142 167 
儇	0 131 1 1 190 1 139 129 150 
莕	1 133 1 170 129 
喊	0 129 6 9 17 139 129 
㓍	0 222 1 1 158 178 130 
䖼	0 258 0 1 141 178 380 
㶰	0 234 351 
抐	0 209 132 
勹	210 
豸	303 
黃	1 134 1 1 139 381 143 
攵	161 
䔤	1 133 0 300 1 139 300 
蛥	0 258 1 204 204 
贐	0 1 163 143 1 1 1 382 139 267 330 
㧜	0 209 8 211 186 
击	1 25 308 
䍔	1 190 5 174 178 
賫	1 1 7 197 0 137 137 195 1 163 143 
僐	0 131 1 1 243 306 129 
屾	0 249 249 
胪	0 157 1 219 148 
侹	0 131 4 235 1 207 233 
毹	0 1 1 137 139 0 157 199 279 
孆	0 145 1 0 1 163 143 1 163 143 145 
㽚	1 240 301 
諞	0 156 5 251 6 220 245 
渣	0 185 1 170 1 152 139 
焎	1 0 209 282 267 
蕃	1 133 1 242 240 
謆	0 156 5 251 0 183 183 
诹	0 127 0 231 175 
媬	0 145 0 131 1 129 170 
稕	0 135 1 1 158 129 309 
䜙	0 156 1 152 1 0 159 159 267 
襵	0 173 1 231 0 231 231 
叫	0 129 276 
歮	1 168 0 168 168 
臺	1 1 1 233 129 195 1 1 139 178 141 
霡	1 146 0 157 383 
䩶	0 200 1 1 13 139 258 
徎	0 165 1 129 226 
㗷	0 129 1 1 142 1 181 139 292 
苓	1 133 1 1 137 155 299 
龬	0 166 6 220 1 306 350 
疾	5 201 1 189 140 
熯	0 234 1 134 30 
抓	0 209 384 
莝	1 133 7 141 0 137 137 
䵉	5 224 1 0 170 170 1 1 137 139 0 157 199 
嘓	0 129 9 286 2 136 1 129 139 
榘	1 0 1 189 140 184 170 
捌	0 209 0 1 129 238 199 
糟	0 218 1 27 152 
潥	0 185 1 264 218 
账	0 292 385 
曘	0 152 1 146 284 
賁	1 1 197 227 1 163 143 
呵	0 129 2 167 129 
礚	0 179 1 133 1 1 141 178 330 
泖	0 185 386 
恄	0 153 1 233 129 
洲	0 185 387 
徝	0 165 1 197 26 
诓	0 127 8 211 226 
黛	1 0 131 289 203 
柭	0 170 4 5 174 175 155 
